Date,Ticker,Open,High,Low,Close,Volume,YoY_Open,YoY_High,YoY_Low,YoY_Close,YoY_Volume
2020-12-01,BJTM.JK,439.7006607055664,541.1700439453125,432.93603515625,459.9945373535156,832048200.0,0.0980074825232069,0.27305215365009494,0.08949579661217433,0.0899928293661032,10.00802533815965
2021-01-01,BJTM.JK,459.99445543791114,656.1685614334909,459.99445543791114,514.1114501953125,2964521000.0,0.08999260625440342,0.5548423942158405,0.2873188539383904,0.3351768254495118,7.8967880856810595
2021-02-01,BJTM.JK,514.1115245931952,608.8162791235206,497.19996128420854,571.61083984375,1223163300.0,0.3351769403749967,0.5203178723905579,0.35636202340726264,0.508644248257478,11.344822679145082
2021-03-01,BJTM.JK,574.9932006058419,615.5809559427249,524.2585064347383,531.0231323242188,887751400.0,0.5175710934606905,0.5735223019088012,1.2512054852807397,0.967889832515404,3.2731160653989093
2021-04-01,BJTM.JK,534.4053333493099,558.0815190040261,527.6407088765337,551.31689453125,353486100.0,0.9536615591541389,0.535349129195797,0.9825131011669634,0.597992702973591,1.0717425475874824
2021-05-01,BJTM.JK,551.3169699157311,554.6992826146005,493.81765403494927,510.7292175292969,377250800.0,0.5979929747718249,0.6077966126538603,0.705415815394131,0.6987615149691426,1.4047399890360661
2021-06-01,BJTM.JK,543.2935152527289,561.2833667511636,503.7158419561725,507.3138122558594,173846300.0,0.6457768812528539,0.5365428307090663,0.5258858501682091,0.49990219397677316,-0.20588502651445773
2021-07-01,BJTM.JK,507.31383025903494,518.1077415411421,489.3239781221897,500.1178894042969,179806800.0,0.4999023948386945,0.18745365251950075,0.45252446451096895,0.34420653051307903,-0.7716997063189049
2021-08-01,BJTM.JK,500.1178247411768,539.6954943250109,496.51985477901,514.5097045898438,157402200.0,0.33209623619764295,0.24659410592911168,0.425232251594293,0.27830019691464747,-0.7144798590486217
2021-09-01,BJTM.JK,510.9117262098525,525.3036058213976,503.7157864040799,518.107666015625,137694600.0,0.26936117419135996,0.2835456314981193,0.4892645888752152,0.5017794173531582,-0.509008636366878
2021-10-01,BJTM.JK,518.1077411358174,572.0772975041316,514.5097707112631,561.2833862304688,296758100.0,0.48719907790711625,0.42132698989757467,0.49135043698896474,0.43057440037185946,-0.21496948186225584
2021-11-01,BJTM.JK,561.2833243760487,564.8812944041002,536.0975341796875,536.0975341796875,133712500.0,0.4305743268317068,0.21905388546972882,0.44091181031230886,0.24803385145160628,-0.7298745013650467
2021-12-01,BJTM.JK,539.6954956054688,557.6853454589843,525.3036157226562,539.6954956054688,115526100.0,0.2274157030818318,0.030517767379121263,0.2133515648173523,0.1732650102988098,-0.8611545581133401
2022-01-01,BJTM.JK,539.6955042077391,546.8914442638423,528.9015941235843,536.0975341796875,107123700.0,0.17326523793412507,-0.16653817874315346,0.1497999331754427,0.04276520971478548,-0.9638647525181977
2022-02-01,BJTM.JK,536.0975516183036,564.8813127790179,532.4995814732143,554.08740234375,192667800.0,0.04276509273451001,-0.07216457222161254,0.07099682811284036,-0.030656237213398607,-0.8424839921210847
2022-03-01,BJTM.JK,554.0874278394482,597.2630715671974,546.8914872181566,568.4793090820312,548789800.0,-0.03635829561874182,-0.029757068016301513,0.043171413540498804,0.07053586647698706,-0.381820406028084
2022-04-01,BJTM.JK,603.2148433661312,614.7412416470127,580.1620468043682,610.8991088867188,246197500.0,0.12875902563615416,0.10152588952256236,0.09953996544289434,0.10807253495492408,-0.30351575351902094
2022-05-01,BJTM.JK,610.8992027869591,610.8992027869591,568.635735927484,599.372802734375,173181100.0,0.10807255376219449,0.10131601380023003,0.15150953247864152,0.1735627846667951,-0.540939078194135
2022-06-01,BJTM.JK,599.3727449984164,603.2148779791754,564.7935481715847,568.6356811523438,107222400.0,0.10322087080240694,0.07470649178635203,0.12125428888283096,0.12087561468867958,-0.38323450082055244
2022-07-01,BJTM.JK,568.635683731294,568.635683731294,545.5828857421875,545.5828857421875,107470900.0,0.1208755799954202,0.0975240054121822,0.11497271773988005,0.09090855836419909,-0.402297910868777
2022-08-01,BJTM.JK,545.582884894477,560.9514168633356,545.582884894477,553.2671508789062,95601300.0,0.09090869771904164,0.039385028709400416,0.09881383320975945,0.07532889262012876,-0.3926304714927745
2022-09-01,BJTM.JK,553.2671517385563,560.9514177349251,541.7407527440031,545.5828857421875,135155900.0,0.0829016508251108,0.06786135011920669,0.07548893119148659,0.05302994247866222,-0.018437179090537992
2022-10-01,BJTM.JK,545.5829169090758,549.4250501267453,518.687984385389,541.7407836914062,168999900.0,0.05302984995558302,-0.03959648018932738,0.008120766430441018,-0.03481771065826289,-0.43051293292415604
2022-11-01,BJTM.JK,541.7407510835831,560.951416015625,534.0564851107663,560.951416015625,125225400.0,-0.03481766238858086,-0.0069569986250312965,-0.003807234577275831,0.046360746415235354,-0.06347274936898195
2022-12-01,BJTM.JK,560.9514177349251,560.9514177349251,530.2143537494497,545.5828857421875,114206700.0,0.03938502785836673,0.005856478572612955,0.009348380402898648,0.010908725725260693,-0.011420795820165308
2023-01-01,BJTM.JK,545.582913145727,564.7935791015625,537.8986467633929,564.7935791015625,72660900.0,0.010908760388194327,0.03273434796885111,0.01701082534023568,0.05352765698835826,-0.3217103218055388
2023-02-01,BJTM.JK,564.7935481715847,580.1620800946209,560.9514151908256,568.6356811523438,94110400.0,0.05352756502367395,0.02705128842097304,0.0534307156428111,0.02625628871375807,-0.5115405895536255
2023-03-01,BJTM.JK,572.4778454838967,576.3199786750638,526.3722471898916,564.7935791015625,129411600.0,0.03319046186656527,-0.03506510596273704,-0.03751976490370901,-0.0064834901140384815,-0.7641873081460333
2023-04-01,BJTM.JK,564.7935207790798,572.4777863679109,514.8457944516782,518.6879272460938,364202700.0,-0.06369425920066574,-0.06874999172964169,-0.11258277357587088,-0.15094338868600976,0.47931112216817806
2023-05-01,BJTM.JK,559.9786588228666,564.1266488882211,530.9427283653846,539.2387084960938,186470600.0,-0.08335343004507112,-0.07656345545281251,-0.06628673715101552,-0.10032836652571797,0.07673758857057722
2023-06-01,BJTM.JK,539.2386881510416,543.3866780598959,530.9427083333334,535.0906982421875,77555900.0,-0.10032831380668406,-0.09918223522554592,-0.05993489116126982,-0.05899204714374784,-0.27668192467245645
2023-07-01,BJTM.JK,539.2386881510416,555.8306477864584,530.9427083333334,547.53466796875,115361500.0,-0.05169741615115342,-0.022518875109650227,-0.02683401146085851,0.00357742568098951,0.07342080507374549
2023-08-01,BJTM.JK,543.3866577148438,551.6826372219406,539.2386679612953,543.3866577148438,105161100.0,-0.004025469347444965,-0.016523319779140788,-0.011628328360060003,-0.017858448939841454,0.09999654816409409
2023-09-01,BJTM.JK,543.3866990457369,547.5346891147884,526.7947387695312,526.7947387695312,112364000.0,-0.017858375762543677,-0.02391780855873815,-0.02758886773566116,-0.034436833455832594,-0.16863414767686802
2023-10-01,BJTM.JK,530.9426652892562,530.9426652892562,497.75874870867773,501.90673828125,115163700.0,-0.026834145949367283,-0.03363950157209883,-0.04035033836673696,-0.07352971496575944,-0.3185575849453165
2023-11-01,BJTM.JK,501.906739265688,522.6466871692288,497.7587496849798,514.3507080078125,75843100.0,-0.07352965738357253,-0.0682852877321719,-0.06796609803971976,-0.08307441014912142,-0.3943473129253331
2023-12-01,BJTM.JK,518.4987182617188,518.4987182617188,497.75876953125,518.4987182617188,92374700.0,-0.07567981491984965,-0.07567981491984965,-0.06121219463163852,-0.049642626607732776,-0.19116216474164827
