ticker_and_date,ticker,report_year,close_year,close_next_year,next_year_return,next_year_return_winsor,next_year_return_scaled
ASRI_2021,ASRI,2021,162.0,160.0,-0.0123456790123456,-0.0123456790123456,-0.0015890686156437247
ASRI_2022,ASRI,2022,160.0,164.0,0.025,0.025,0.003217863946678563
ASRI_2023,ASRI,2023,164.0,134.0,-0.1829268292682926,-0.1829268292682926,-0.023545345951306546
ASRI_2024,ASRI,2024,134.0,163.0,0.2164179104477611,0.2164179104477611,0.02785613565781441
ASSA_2021,ASSA,2021,2957.89501953125,690.4724731445312,-0.7665662680435652,-0.7665662680435652,-0.09866823826709295
ASSA_2022,ASSA,2022,690.4724731445312,703.83642578125,0.0193547942264186,0.0193547942264186,0.002491243781462993
ASSA_2023,ASSA,2023,703.83642578125,650.8214721679688,-0.0753228330779204,-0.0753228330779204,-0.009695145156925102
ASSA_2024,ASSA,2024,650.8214721679688,1125.0,0.7285846397361208,0.7285846397361208,0.0937794497724261
ATAP_2024,ATAP,2024,25.0,620.0,23.8,7.769128966998332,1.0
ATIC_2021,ATIC,2021,800.0,392.0,-0.51,-0.51,-0.06564442451224269
ATIC_2022,ATIC,2022,392.0,500.0,0.2755102040816326,0.2755102040816326,0.03546217410625355
ATIC_2023,ATIC,2023,500.0,374.0,-0.252,-0.252,-0.03243606858251991
ATIC_2024,ATIC,2024,374.0,645.0,0.7245989304812834,0.7245989304812834,0.09326643096790273
AUTO_2021,AUTO,2021,809.875,1079.6904296875,0.3331568818490508,0.3331568818490508,0.04288214074759641
AUTO_2022,AUTO,2022,1079.6904296875,1856.027099609375,0.719036353917274,0.719036353917274,0.09255044638486414
AUTO_2023,AUTO,2023,1856.027099609375,1980.058349609375,0.0668262063771073,0.0668262063771073,0.008601505607767786
AUTO_2024,AUTO,2024,1980.058349609375,2523.708984375,0.2745629364270382,0.2745629364270382,0.03534024696891058
AYLS_2022,AYLS,2022,101.0,51.0,-0.495049504950495,-0.495049504950495,-0.06372007815205075
AYLS_2023,AYLS,2023,51.0,129.0,1.5294117647058822,1.5294117647058822,0.19685755909092384
AYLS_2024,AYLS,2024,129.0,226.0,0.751937984496124,0.751937984496124,0.09678536521792887
BAJA_2021,BAJA,2021,334.0,124.0,-0.6287425149700598,-0.6287425149700598,-0.08092831482664649
BAJA_2022,BAJA,2022,124.0,123.0,-0.0080645161290322,-0.0080645161290322,-0.0010380206279608194
BAJA_2023,BAJA,2023,123.0,93.0,-0.2439024390243902,-0.2439024390243902,-0.031393794601742075
BAJA_2024,BAJA,2024,93.0,163.0,0.7526881720430108,0.7526881720430108,0.09688192527634383
BALI_2021,BALI,2021,760.3432006835938,762.0374145507812,0.0022282225522162,0.0022282225522162,0.0002868046806381041
BALI_2022,BALI,2022,762.0374145507812,775.968994140625,0.018282015192202,0.018282015192202,0.002353161502384663
BALI_2023,BALI,2023,775.968994140625,1677.3642578125,1.1616382490516362,1.1616382490516362,0.14951975362824294
BALI_2024,BALI,2024,1677.3642578125,1780.0,0.0611887022806544,0.0611887022806544,0.007875876760518647
BAPA_2021,BAPA,2021,68.0,95.0,0.3970588235294117,0.3970588235294117,0.05110725091783599
BAPA_2022,BAPA,2022,95.0,67.0,-0.2947368421052631,-0.2947368421052631,-0.03793692231873673
BAPA_2023,BAPA,2023,67.0,56.0,-0.1641791044776119,-0.1641791044776119,-0.02113224084385921
BAPA_2024,BAPA,2024,56.0,93.0,0.6607142857142857,0.6607142857142857,0.08504354716221917
BAPI_2022,BAPI,2022,50.0,50.0,0.0,0.0,0.0
BAPI_2023,BAPI,2023,50.0,10.0,-0.8,-0.8,-0.10297164629371401
BATA_2021,BATA,2021,1105.0,520.0,-0.5294117647058824,-0.5294117647058824,-0.06814300122378134
BATA_2023,BATA,2023,141.0,50.0,-0.6453900709219859,-0.6453900709219859,-0.08307109763056716
BATA_2024,BATA,2024,50.0,70.0,0.4,0.4,0.051485823146857006
BAUT_2024,BAUT,2024,15.0,36.0,1.4,1.4,0.18020038101399952
BAYU_2021,BAYU,2021,858.465087890625,771.4586181640625,-0.1013512033906354,-0.1013512033906354,-0.013045375333728472
BAYU_2022,BAYU,2022,771.4586181640625,1209.523193359375,0.5678393693207162,0.5678393693207162,0.07308919336167304
BAYU_2023,BAYU,2023,1209.523193359375,1189.3502197265625,-0.0166784512637441,-0.0166784512637441,-0.0021467594803215063
BAYU_2024,BAYU,2024,1189.3502197265625,1268.5185546875,0.0665643589649638,0.0665643589649638,0.008567802033885078
BBRM_2021,BBRM,2021,67.77452087402344,72.0,0.0623461305441127,0.0623461305441127,0.008024854627712616
BBRM_2023,BBRM,2023,65.0,79.0,0.2153846153846154,0.2153846153846154,0.027723135540615312
BBRM_2024,BBRM,2024,79.0,212.0,1.6835443037974684,1.6835443037974684,0.21669666071303742
BCIP_2021,BCIP,2021,92.0,68.0,-0.2608695652173913,-0.2608695652173913,-0.03357771074795022
BCIP_2022,BCIP,2022,68.0,60.0,-0.1176470588235294,-0.1176470588235294,-0.015142889160840294
BCIP_2023,BCIP,2023,60.0,59.0,-0.0166666666666666,-0.0166666666666666,-0.0021452426311190332
BCIP_2024,BCIP,2024,59.0,83.0,0.4067796610169492,0.4067796610169492,0.05235846421714272
BEEF_2021,BEEF,2021,65.80884552001953,57.149784088134766,-0.1315789900804538,-0.1315789900804538,-0.01693613153281074
BEEF_2024,BEEF,2024,130.97344970703125,456.0,2.481621664696214,2.481621664696214,0.3194208353648954
BELL_2021,BELL,2021,142.53228759765625,144.63587951660156,0.0147587045321505,0.0147587045321505,0.001899660128547544
BELL_2022,BELL,2022,144.63587951660156,77.52213287353516,-0.4640186575237922,-0.4640186575237922,-0.05972595634527993
BELL_2023,BELL,2023,77.52213287353516,59.218868255615234,-0.2361037285671531,-0.2361037285671531,-0.030389987033304935
BELL_2024,BELL,2024,59.218868255615234,69.0,0.1651691771981357,0.1651691771981357,0.021259677616337753
BESS_2022,BESS,2022,170.0,212.0,0.2470588235294117,0.2470588235294117,0.031800067237764615
BESS_2023,BESS,2023,212.0,344.0,0.6226415094339622,0.6226415094339622,0.0801430265965227
BESS_2024,BESS,2024,344.0,1590.0,3.622093023255814,3.622093023255814,0.4662161020420337
BEST_2021,BEST,2021,112.0,133.0,0.1875,0.1875,0.02413397960008922
BEST_2022,BEST,2022,133.0,137.0,0.0300751879699248,0.0300751879699248,0.003871114522320074
BEST_2023,BEST,2023,137.0,101.0,-0.2627737226277372,-0.2627737226277372,-0.033822803527132336
BEST_2024,BEST,2024,101.0,111.0,0.099009900990099,0.099009900990099,0.012744015630410149
BHIT_2021,BHIT,2021,56.0,57.0,0.0178571428571428,0.0178571428571428,0.002298474247627538
BHIT_2022,BHIT,2022,57.0,50.0,-0.1228070175438596,-0.1228070175438596,-0.015807050966140303
BHIT_2023,BHIT,2023,50.0,34.0,-0.32,-0.32,-0.041188658517485606
BHIT_2024,BHIT,2024,34.0,39.0,0.1470588235294117,0.1470588235294117,0.018928611451050358
BIKA_2021,BIKA,2021,250.0,101.0,-0.596,-0.596,-0.07671387648881693
BIKA_2022,BIKA,2022,101.0,51.0,-0.495049504950495,-0.495049504950495,-0.06372007815205075
BIKA_2023,BIKA,2023,51.0,55.0,0.0784313725490196,0.0784313725490196,0.010095259440560196
